GEOID,NAME,T2_EST1,T8_LE80,T8_LE50_CB_PCT,T8_LE80_CB_PCT,T8_LE30_CB_PCT,CB_RENT_LE80,CB_OWN_LE80,OWN_GAP_RATIO,AFF_DEFICIT,MED_HH_INC,POVERTY_PCT,UNEMP_PCT,CB_PCT,VACANCY_PCT,SFD_PCT,MED_HOME_VAL,HB_UNITS,OR_UNITS,TOTAL_UNITS,TOTAL_AMT_K,LOWMODPCT,LMI_ELIGIBLE,HAS_HOME_INVEST,HAS_HB_INVEST,NEED_SCORE,DISP_SCORE,INV_SCORE,LMI_SCORE
48439105901,Census Tract 1059.01,1115,680,58.33,41.18,75.47,220,55,0.8,0.55,49781.0,16.97,9.01,28.43,2.02,75.57,83100.0,12.0,0.0,278.0,188.58,80.92,True,True,True,44.08,64.49,78.35,100.0
48439123200,Census Tract 1232,1330,605,74.03,68.43,80.77,359,55,0.87,0.83,60343.0,12.67,1.64,37.69,11.2,22.93,87000.0,18.0,13.0,35.0,678.89,67.69,True,True,True,47.55,58.73,75.27,100.0
48439123600,Census Tract 1236,1290,805,88.5,79.5,91.36,615,20,0.97,0.93,38444.0,37.47,3.27,57.45,15.26,22.24,,5.0,3.0,20.0,306.46,93.85,True,True,True,75.75,62.59,51.9,100.0
48439111540,Census Tract 1115.40,2035,800,74.03,50.0,41.38,295,105,0.74,0.48,69408.0,6.35,1.5,26.71,4.78,76.58,164200.0,20.0,1.0,21.0,164.8,34.24,False,True,True,36.68,51.73,68.66,47.0
48439111541,Census Tract 1115.41,1255,475,63.41,69.47,62.96,190,135,0.58,0.47,69850.0,13.41,9.09,29.44,6.54,96.06,147100.0,54.0,4.0,58.0,601.17,35.65,False,True,True,35.02,40.79,93.3,48.93
48439111542,Census Tract 1115.42,1780,445,81.58,58.43,100.0,89,169,0.34,0.24,102500.0,2.46,3.02,19.58,4.76,97.38,194000.0,20.0,1.0,21.0,147.64,26.06,False,True,True,46.86,29.88,68.66,35.77
48439113207,Census Tract 1132.07,1540,370,72.5,64.86,53.33,45,190,0.19,0.3,98144.0,2.77,2.64,28.23,0.0,93.58,232200.0,1.0,2.0,3.0,39.96,16.08,False,True,True,21.83,37.93,27.99,22.07
48439111543,Census Tract 1115.43,2320,1150,93.87,83.04,97.26,620,335,0.65,0.67,55469.0,20.87,5.65,50.84,6.41,58.39,172400.0,31.0,3.0,34.0,291.23,53.17,True,True,True,82.6,53.47,82.52,100.0
48439111544,Census Tract 1115.44,2505,865,75.58,73.99,62.5,250,390,0.39,0.33,77993.0,11.22,3.71,33.55,2.79,95.89,167300.0,53.0,5.0,59.0,472.27,26.86,False,True,True,47.48,38.14,93.39,36.87
48439111551,Census Tract 1115.51,2255,335,78.13,85.07,0.0,130,160,0.45,0.74,117188.0,0.24,2.23,31.4,6.0,86.83,291800.0,0.0,0.0,0.0,0.0,11.5,False,False,False,17.49,49.47,10.87,15.78
